Category,original fluid,new fluid,original lable,new Label,Short,Unit,Normal Range
Hematology,Urine,urine sample (random) Microscopic Examination,RBC Clumps,Red Blood Cells (RBCs) Clumps,RBCs Clumps,low power field (LPF) or high power field (HPF),0-2 RBC clumps per HPF
Hematology,Urine,urine sample (random) Microscopic Examination,RBC,Red Blood Cells (RBCs),RBCs,low power field (LPF) or high power field (HPF),0-2 RBCs per HPF
Hematology,Urine,urine sample (random) Microscopic Examination,WBC Clumps,white blood cells (WBCs) clumps,WBCs clumps,low power field (LPF) or high power field (HPF),0-2 WBC clumps per HPF
Chemistry,Urine,urine sample (random) Urinalysis,Ketone,Ketone,Ketone,milligrams per deciliter (mg/dL),0-20 mg/dL
Hematology,Urine,urine sample (random) Urinalysis,Ketone,Ketone,Ketone,milligrams per deciliter (mg/dL),0-20 mg/dL
Hematology,Blood,Peripheral Blood Sample analysis - White Blood Cells,Eosinophils,Eosinophils,Eosinophils,percentage,0-4% of total white blood cells
Hematology,Cerebrospinal Fluid,Cerebrospinal Sample analysis - Whole,"Total Nucleated Cells, CSF",Nucleated Cells,Nucleated Cells,cells per microliter (cells/μL),0-5 cells/µL
Hematology,Urine,urine sample (random) Microscopic Examination,Granular Casts,Granular Casts,Granular Casts,low power field (LPF) or high power field (HPF),0-5 granular casts per LPF
Hematology,Urine,urine sample (random) Microscopic Examination,RBC Casts,Red Blood Cells (RBCs) Casts,RBCs Casts,low power field (LPF) or high power field (HPF),0-5 RBC casts per LPF
Hematology,Urine,urine sample (random) Microscopic Examination,Renal Epithelial Cells,Renal Epithelial Cells,Renal Epithelial Cells,low power field (LPF) or high power field (HPF),0-5 renal epithelial cells per HPF
Hematology,Urine,urine sample (random) Microscopic Examination,Transitional Epithelial Cells,Transitional Epithelial Cells,Transitional Epithelial Cells,low power field (LPF) or high power field (HPF),0-5 transitional epithelial cells per HPF
Hematology,Urine,urine sample (random) Microscopic Examination,WBC,white blood cells (WBCs),WBCs,low power field (LPF) or high power field (HPF),0-5 WBCs per HPF
Hematology,Urine,urine sample (random) Microscopic Examination,WBC Casts,white blood cells (WBCs) casts,WBCs casts,low power field (LPF) or high power field (HPF),0-5 WBCs per HPF
Hematology,Blood,Peripheral Blood Sample analysis - Whole,Eosinophil Count,Eosinophil,Eosinophil,cells per microliter (cells/μL),0-500 cells/μL
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Troponin T,Troponin Tropomyosin-binding (T),Troponin T,nanograms per milliliter (ng/mL),0.01 ng/mL
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Calculated Free Testosterone,"Testosterone, Free, Calculated","Testosterone, Free, Calculated",nanograms per deciliter (ng/dL),0.1 to 0.4 ng/dL
Hematology,Blood,Peripheral Blood Sample analysis - Red Blood Cells,Nucleated Red Cells,Nucleated Red Cells,Nucleated Red Cells,percentage,0.1% of total red blood cells
Chemistry,Urine,urine sample (24-hour) analysis,"Urea Nitrogen, Urine",Urea Nitrogen,Urea Nitrogen,milligrams for a 24-hour urine collection (mg/day),0.12 to 0.2 mg/day
Chemistry,Urine,urine sample (random) Substances Measurement,Urobilinogen,Urobilinogen,Urobilinogen,milligrams per deciliter (mg/dL),0.2 to 1.0 mg/dL
Hematology,Urine,urine sample (random) Substances Measurement,Urobilinogen,Urobilinogen,Urobilinogen,milligrams per deciliter (mg/dL),0.2 to 1.0 mg/dL
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,"Bilirubin, Total","Bilirubin, Total","Bilirubin, Total",milligrams per deciliter (mg/dL),0.2 to 1.2 mg/dL
Chemistry,Pleural,Pleural Sample analysis - Whole,"Creatinine, Pleural",Creatinine,Creatinine,milligrams per deciliter (mg/dL),0.2 to 1.5 mg/dL
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Free Kappa/Free Lambda Ratio,"Kappa,Free/Lambda,Free Ratio","Kappa,Free/Lambda,Free Ratio",Ratio,0.26 to 1.65
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,"Bilirubin, Direct","Bilirubin, Direct","Bilirubin, Direct",milligrams per deciliter (mg/dL),0.3 mg/dL
Chemistry,Pleural,Pleural Sample analysis - Whole,"Bilirubin, Total, Pleural","Bilirubin, Total","Bilirubin, Total",milligrams per deciliter (mg/dL),0.3 mg/dL
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Thyroid Stimulating Hormone,Thyroid Stimulating Hormone,Thyroid Stimulating Hormone,milli-international units per liter (mIU/L),0.4 to 4.0 mIU/L
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,"Bilirubin, Indirect","Bilirubin, Indirect","Bilirubin, Indirect",milligrams per deciliter (mg/dL),0.5 mg/dL
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Beta Hydroxybutyrate,Beta-hydroxybutyrate (BHB),BHB,millimoles per liter (mmol/L),0.5 mmol/L in non-ketotic individuals
Blood_GAS,Blood,Peripheral Blood Sample analysis - Plasma,Lactate,Lactate,Lactate,millimoles per liter (mmol/L),0.5 to 2.2 mmol/L
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Lactate,Lactate,Lactate,millimoles per liter (mmol/L),0.5 to 2.2 mmol/L
Hematology,Blood,Peripheral Blood Sample analysis - Plasma,Arachadonic Acid,Arachadonic Acid,Arachadonic Acid,percentage,0.5-2.5% of total fatty acids
Hematology,Blood,Peripheral Blood Sample analysis - White Blood Cells,Basophils,Basophils,Basophils,percentage,0.5% to 1% of the total WBC count
Hematology,Blood,Peripheral Blood Sample analysis - Red Blood Cells,Young Cells,Young Cells,Young Cells,percentage,0.5% to 2.5% of the total red blood cell
Hematology,Blood,Peripheral Blood Sample analysis - Red Blood Cells,"Reticulocyte Count, Automated",Reticulocyte,Reticulocyte,percentage,0.5% to 2.5% of the total red blood cells
Hematology,Blood,Peripheral Blood Sample analysis - Red Blood Cells,"Reticulocyte Count, Manual",Reticulocyte,Reticulocyte,percentage,0.5% to 2.5% of the total red blood cells
Chemistry,Ascites,Ascite Sample analysis - Whole,"Creatinine, Ascites",Creatinine,Creatinine,milligrams per deciliter (mg/dL),0.6 to 1.2 mg/dL
Chemistry,Joint Fluid,Joint Fluid sample analysis - Whole,"Creatinine, Joint Fluid",Creatinine,Creatinine,Milligrams per deciliter (mg/dL),0.6 to 1.2 mg/dL
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Lithium,Lithium,Lithium,millimoles per liter (mmol/L),0.6 to 1.2 mmol/L
Hematology,Blood,Peripheral Blood Sample analysis - Plasma,dRVVT - Confirmation,Dilute Russell's Viper Venom Time (DRVTT),DRVTT,seconds (s),0.8 and 1.2 s
Hematology,Blood,Peripheral Blood Sample analysis - Plasma,dRVVT - Normalized Ratio,Dilute Russell's Viper Venom Time (DRVTT),DRVTT,seconds (s),0.8 and 1.2 s
Hematology,Blood,Peripheral Blood Sample analysis - Plasma,dRVVT - Screen,Dilute Russell's Viper Venom Time (DRVTT),DRVTT,seconds (s),0.8 and 1.2 s
Hematology,Blood,Peripheral Blood Sample analysis - White Blood Cells,LUC,Large Unstained Cells,LUC,Ratio (Absolute Lymphocyte Count ÷  Absolute Neutrophil Count),0.8 and 3.0.
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,INR(PT),International Normalized Ratio (INR) Prothrombin Time (PT),INR PT,Ratio,0.8 to 1.2
Chemistry,Urine,urine sample (24-hour) analysis,24 hr Creatinine,Creatinine,Creatinine,grams for a 24-hour urine collection (g/day),"0.8 to 1.8 g/day for men 
0.6 to 1.6 g/day for women"
Hematology,Blood,Peripheral Blood Sample analysis - White Blood Cells,INR(PT),International Normalized Ratio (INR) Prothrombin Time (PT),INR(PT),Ratio (PT ÷ Control PT),0.9 to 1.1
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,"Thyroxine (T4), Free","Thyroxine (T4), Free","T4, Free",nanograms per deciliter (ng/dL),0.9 to 2.4 ng/dL
Hematology,Joint Fluid,Joint Fluid sample analysis - White Blood Cells,Atypical Lymphocytes,Atypical Lymphocytes,Atypical Lymphocytes,percentage,0%  of the total WBC count
Hematology,Joint Fluid,Joint Fluid sample analysis - White Blood Cells,Bands,Bands,Bands,percentage,0%  of the total WBC count
Hematology,Cerebrospinal Fluid,Cerebrospinal Sample analysis - White Blood Cells,Basophils,Basophils,Basophils,percentage,0%  of the total WBC count
Hematology,Joint Fluid,Joint Fluid sample analysis - White Blood Cells,Basophils,Basophils,Basophils,percentage,0%  of the total WBC count
Hematology,Cerebrospinal Fluid,Cerebrospinal Sample analysis - White Blood Cells,Blasts,Blasts,Blasts,percentage,0%  of the total WBC count
Hematology,Joint Fluid,Joint Fluid sample analysis - White Blood Cells,Blasts,Blasts,Blasts,percentage,0%  of the total WBC count
Hematology,Cerebrospinal Fluid,Cerebrospinal Sample analysis - White Blood Cells,Eosinophils,Eosinophils,Eosinophils,percentage,0%  of the total WBC count
Hematology,Joint Fluid,Joint Fluid sample analysis - White Blood Cells,Eosinophils,Eosinophils,Eosinophils,percentage,0%  of the total WBC count
Hematology,Cerebrospinal Fluid,Cerebrospinal Sample analysis - White Blood Cells,Lining Cell,Lining Cell,Lining Cell,percentage,0%  of the total WBC count
Hematology,Joint Fluid,Joint Fluid sample analysis - White Blood Cells,Lining Cell,Lining Cell,Lining Cell,percentage,0%  of the total WBC count
Hematology,Cerebrospinal Fluid,Cerebrospinal Sample analysis - White Blood Cells,Macrophage,Macrophage,Macrophage,percentage,0%  of the total WBC count
Hematology,Cerebrospinal Fluid,Cerebrospinal Sample analysis - White Blood Cells,Metamyelocytes,Metamyelocytes,Metamyelocytes,percentage,0%  of the total WBC count
Hematology,Joint Fluid,Joint Fluid sample analysis - White Blood Cells,Metamyelocytes,Metamyelocytes,Metamyelocytes,percentage,0%  of the total WBC count
Hematology,Cerebrospinal Fluid,Cerebrospinal Sample analysis - White Blood Cells,Myelocytes,Myelocytes,Myelocytes,percentage,0%  of the total WBC count
Hematology,Joint Fluid,Joint Fluid sample analysis - White Blood Cells,Myelocytes,Myelocytes,Myelocytes,percentage,0%  of the total WBC count
Hematology,Cerebrospinal Fluid,Cerebrospinal Sample analysis - White Blood Cells,NRBC,Nucleated Red Blood Cells,NRBC,percentage,0%  of the total WBC count
Hematology,Joint Fluid,Joint Fluid sample analysis - White Blood Cells,NRBC,Nucleated Red Blood Cells,NRBC,percentage,0%  of the total WBC count
Hematology,Cerebrospinal Fluid,Cerebrospinal Sample analysis - White Blood Cells,Polys,Polys,Polys,percentage,0%  of the total WBC count
Hematology,Cerebrospinal Fluid,Cerebrospinal Sample analysis - White Blood Cells,Promyelocytes,Promyelocytes,Promyelocytes,percentage,0%  of the total WBC count
Hematology,Joint Fluid,Joint Fluid sample analysis - White Blood Cells,Promyelocytes,Promyelocytes,Promyelocytes,percentage,0%  of the total WBC count
Hematology,Blood,Peripheral Blood Sample analysis - Red Blood Cells,Immature Granulocytes,Immature Granulocytes,Immature Granulocytes,percentage,0%  of the total RBC count
Hematology,Ascites,Ascite Sample analysis - Red Blood Cells,Nucleated RBC,Nucleated Red Blood Cells,NRBC,percentage,0%  of the total RBC count
Hematology,Ascites,Ascite Sample analysis - Red Blood Cells,Young,Young Cells,Young,percentage,0%  of the total RBC count
Hematology,Cerebrospinal Fluid,Peripheral Blood Sample analysis - Red Blood Cells,Young,Young Cells,Young,percentage,0%  of the total RBC count
Hematology,Ascites,Ascite Sample analysis - White Blood Cells,Hyperseg,Hyperseg,Hyperseg,percentage,0%  of the total WBC count
Hematology,Ascites,Ascite Sample analysis - White Blood Cells,Macrophage,Macrophage,Macrophage,percentage,0%  of the total WBC count
Hematology,Ascites,Ascite Sample analysis - White Blood Cells,Monocytes,Monocytes,Monocytes,percentage,0%  of the total WBC count
Hematology,Ascites,Ascite Sample analysis - White Blood Cells,Myelocytes,Myelocytes,Myelocytes,percentage,0%  of the total WBC count
Hematology,Pleural,Pleural Sample analysis - White Blood Cells,Atypical Lymphocytes,Atypical Lymphocytes,Atypical Lymphocytes,percentage,0%  of the total WBC count
Hematology,Pleural,Pleural Sample analysis - White Blood Cells,Blasts,Blasts,Blasts,percentage,0%  of the total WBC count
Hematology,Blood,Peripheral Blood Sample analysis - White Blood Cells,Metamyelocytes,Metamyelocytes,Metamyelocytes,percentage,0%  of the total WBC count
Hematology,Pleural,Pleural Sample analysis - White Blood Cells,Metamyelocytes,Metamyelocytes,Metamyelocytes,percentage,0%  of the total WBC count
Hematology,Blood,Peripheral Blood Sample analysis - White Blood Cells,Myelocytes,Myelocytes,Myelocytes,percentage,0%  of the total WBC count
Hematology,Pleural,Pleural Sample analysis - White Blood Cells,Myelocytes,Myelocytes,Myelocytes,percentage,0%  of the total WBC count
Hematology,Pleural,Pleural Sample analysis - White Blood Cells,NRBC,Nucleated Red Blood Cells,NRBC,percentage,0%  of the total WBC count
Hematology,Pleural,Pleural Sample analysis - White Blood Cells,Plasma Cells,Plasma Cells,Plasma Cells,percentage,0%  of the total WBC count
Hematology,Blood,Peripheral Blood Sample analysis - White Blood Cells,Promyelocytes,Promyelocytes,Promyelocytes,percentage,0%  of the total WBC count
Hematology,Pleural,Pleural Sample analysis - White Blood Cells,Promyelocytes,Promyelocytes,Promyelocytes,percentage,0%  of the total WBC count
Hematology,Blood,Peripheral Blood Sample analysis - Hemoglobin,Hemoglobin C,Hemoglobin C,Hemoglobin C,percentage,0% of total hemoglobin
Hematology,Blood,Peripheral Blood Sample analysis - Hemoglobin,Hemogloblin S,Hemogloblin S,Hemogloblin S,percentage,0% of total hemoglobin
Hematology,Blood,Peripheral Blood Sample analysis - Hemoglobin,Hemoglobin Other,Hemoglobin Other,Hemoglobin Other,percentage,0% of total hemoglobin or less than 1%
Hematology,Cerebrospinal Fluid,Cerebrospinal Sample analysis - Whole,"Hematocrit, CSF",Hematocrit,Hematocrit,percentage,0% of whole Cerebrospinal Fluid sample
Hematology,Joint Fluid,Joint Fluid sample analysis - Whole,"Hematocrit, Joint Fluid",Hematocrit,Hematocrit,percentage,0% of whole Cerebrospinal Fluid sample
Hematology,Cerebrospinal Fluid,Cerebrospinal Sample analysis - Whole,Plasma,Plasma Cells,Plasma Cells,percentage,0% of whole Cerebrospinal Fluid sample
Hematology,Joint Fluid,Joint Fluid sample analysis - Whole,Plasma,Plasma Cells,Plasma Cells,percentage,0% of whole Cerebrospinal Fluid sample
Hematology,Joint Fluid,Joint Fluid sample analysis - White Blood Cells,Monocytes,Monocytes,Monocytes,percentage,0% to 10% of the total WBC count
Hematology,Joint Fluid,Joint Fluid sample analysis - White Blood Cells,Mesothelial Cells,Mesothelial cells,Mesothelial cells,percentage,0% to 5% of the total WBC count
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,"Phenytoin, Free","Phenytoin, Free","Phenytoin, Free",micrograms per milliliter (μg/mL),1 to 2.5 μg/mL
Chemistry,Urine,urine sample (random) Substances Measurement,"Bicarbonate, Urine",Bicarbonate,Bicarbonate,milliequivalents per liter (mEq/L),1 to 30 mEq/L
Hematology,Ascites,Bone Marrow Sample analysis - Nucleated Cells,Promyelocytes,Promyelocytes,Promyelocytes,percentage,1-4% of nucleated cells
Hematology,Blood,Peripheral Blood Sample analysis - White Blood Cells,CD4/CD8 Ratio,cluster of differentiation (CD) 4/cluster of differentiation (CD) 8 Ratio,CD4/CD8 Ratio,ratRatioio,1.0 to 4.0
Chemistry,Urine,urine sample (random) Urinalysis,Specific Gravity,Specific Gravity,Specific Gravity,Ratio,1.005 to 1.030
Hematology,Urine,urine sample (random) Urinalysis,Specific Gravity,Specific Gravity,Specific Gravity,Ratio,1.005 to 1.030
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Free Calcium,"Calcium, Free","Calcium, Free",millimoles per liter (mmol/L),1.1 to 1.35 mmol/L
Blood_GAS,Blood,Peripheral Blood Sample analysis - Plasma,Free Calcium,"Calcium, Free","Calcium, Free",millimoles per liter (mmol/L),1.1 to 1.35 mmol/L
Hematology,Blood,Peripheral Blood Sample analysis - Plasma,Serum Viscosity,Serum Viscosity,Serum Viscosity,centipoise (cP),1.4 to 1.8 times that of water (with water being 1 centipoise at room temperature)
Chemistry,Pleural,Pleural Sample analysis - Whole,"Albumin, Pleural",Albumin,Albumin,grams per deciliter (g/dL),1.5 to 2.6 g/dL
Chemistry,Joint Fluid,Joint Fluid sample analysis - Whole,"Total Protein, Joint Fluid","Protein, Total","Protein, Total",Grams per deciliter (g/dL),1.5 to 4.0 g/dL
Chemistry,Pleural,Pleural Sample analysis - Whole,"Total Protein, Pleural","Protein, Total",Total Protein,grams per deciliter (g/dL),1.5 to 5.0 g/dL
Hematology,Blood,Peripheral Blood Sample analysis - Whole,Granulocyte Count,Granulocyte,Granulocyte,microliter (µL),1.5 to 8.5 x 10^9/L (or 1500 to 8500 per µL) of blood
Hematology,Blood,Peripheral Blood Sample analysis - Hemoglobin,Hemoglobin A2,Hemoglobin A2,Hemoglobin A2,percentage,1.5% to 3.5% of total hemoglobin
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Magnesium,Magnesium,Magnesium,milligrams per deciliter (mg/dL),1.7 to 2.3 mg/dL
Blood_GAS,Blood,Peripheral Blood Sample analysis - Hemoglobin,Methemoglobin,Methemoglobin,Methemoglobin,percentage,1% of total hemoglobin
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Parathyroid Hormone,Parathyroid Hormone,Parathyroid Hormone,picograms per milliliter (pg/mL),10 and 65 pg/mL
Hematology,Blood,Peripheral Blood Sample analysis - Plasma,SCT - Confirmation,Silica Clotting Time (SCT),SCT,minutes,10 to 15 minutes
Hematology,Blood,Peripheral Blood Sample analysis - Plasma,SCT - Normalized Ratio,Silica Clotting Time (SCT),SCT,minutes,10 to 15 minutes.
Hematology,Blood,Peripheral Blood Sample analysis - Plasma,SCT - Screen,Silica Clotting Time (SCT),SCT,minutes,10 to 15 minutes.
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Phenytoin,Phenytoin,Phenytoin,micrograms per milliliter (μg/mL),10 to 20 μg/mL
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Vancomycin,Vancomycin,Vancomycin,micrograms per milliliter (μg/mL),10 to 20 μg/mL
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Asparate Aminotransferase (AST),Asparate Aminotransferase (AST),AST,units per liter (U/L),10 to 40 U/L
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Phenobarbital,Phenobarbital,Phenobarbital,micrograms per milliliter (μg/mL),10 to 40 μg/mL
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Sex Hormone Binding Globulin,Sex Hormone Binding Globulin,Sex Hormone Binding Globulin,nanomoles per liter (nmol/L),"10 to 50 nmol/L for adult males 
20 to 100 nmol/L for adult females"
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Acetaminophen,Acetaminophen,Acetaminophen,micrograms per milliliter (µg/mL),10-30 µg/mL 4 hours after ingestion
Hematology,Blood,Peripheral Blood Sample analysis - Plasma,Thrombin,Thrombin,Thrombin,seconds (s),10.3 to 16.3 seconds
Hematology,Blood,Peripheral Blood Sample analysis - Red Blood Cells,RDW,Red Cell Distribution Width (RDW),RDW,percentage,10.5% to 15.5% of the mean corpuscular volume of the RBCs
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Uptake Ratio,Uptake Ratio,Uptake Ratio,percentage,10% to 30% at 24 hours and 4% to 15% at 48 hours
Chemistry,Joint Fluid,Joint Fluid sample analysis - Whole,"LD, Joint Fluid",Lactate Dehydrogenase,LD,International Units per liter (IU/L),100 to 250 IU/L
Chemistry,Urine,urine sample (24-hour) analysis,24 hr Calcium,Calcium,Calcium,milligrams for a 24-hour urine collection (mg/day),100 to 300 mg/day
Chemistry,Urine,urine sample (24-hour) analysis,"Calcium, Urine",Calcium,Calcium,milliliters for a 24-hour urine collection (ml/day),100 to 300 ml/day
Chemistry,Blood,Peripheral Blood Sample analysis - Whole,Cyclosporin,Cyclosporin,Cyclosporin,nanograms per deciliter (ng/dL),100 to 400 ng/mL
Hematology,Blood,Peripheral Blood Sample analysis - Whole,CD19 Absolute Count,cluster of differentiation (CD) 19 Absolute Count,CD19 Absolute Count,cells per microliter (μL),100 to 500 cells/µL
Hematology,Blood,Peripheral Blood Sample analysis - Whole,CD20 Absolute Count,cluster of differentiation (CD) 20 Absolute Count,CD20 Absolute Count,cells per microliter (μL),100 to 500 cells/µL
Hematology,Blood,Peripheral Blood Sample analysis - Whole,Absolute Lymphocyte Count,Absolute Lymphocyte,Absolute Lymphocyte,cells per microliter (μL),1000 - 4800 cells/µL
Hematology,Blood,Peripheral Blood Sample analysis - Plasma,PT,Prothrombin Time,PT,seconds (s),11 to 13.5 seconds
Chemistry,Urine,urine sample (24-hour) analysis,"Chloride, Urine",Chloride,Chloride,milliequivalents per liter for a 24-hour urine collection (mEq/L/day),110 to 250 mEq/day
Chemistry,Cerebrospinal Fluid,Cerebrospinal Sample analysis - Whole,"Chloride, CSF",Chloride,Chloride,milliequivalents per liter (mEq/L),118 to 132 mEq/L
Blood_GAS,Blood,Respiratory Support,Ventilation Rate,Ventilation Rate,Ventilation Rate,minutes,12 to 20 breaths per minute.
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Calculated TBG,"Thyroxine-Binding Globulin, Calculated (TBG, Calculated)",Calculated TBG,micrograms per milliliter (μg/mL),12 to 20 μg/mL
Chemistry,Blood,Peripheral Blood Sample analysis - Plasma,Sodium,Sodium,Sodium,milliequivalents per liter (mEq/L),135 to 145 mEq/L
