icd_verstion,icd_code,long_title,ICD9_Code,ICD10,ICD10_Root,ICD10_Root_title
10,J4530,"Mild persistent asthma, uncomplicated",,J45.30,J45,Asthma
10,J4531,Mild persistent asthma with (acute) exacerbation,,J45.31,J45,Asthma
10,J4540,"Moderate persistent asthma, uncomplicated",,J45.40,J45,Asthma
10,J4541,Moderate persistent asthma with (acute) exacerbation,,J45.41,J45,Asthma
10,J4550,"Severe persistent asthma, uncomplicated",,J45.50,J45,Asthma
10,J4551,Severe persistent asthma with (acute) exacerbation,,J45.51,J45,Asthma
10,J4552,Severe persistent asthma with status asthmaticus,,J45.52,J45,Asthma
10,J45901,Unspecified asthma with (acute) exacerbation,,J45.901,J45,Asthma
10,J45902,Unspecified asthma with status asthmaticus,,J45.902,J45,Asthma
10,J45909,"Unspecified asthma, uncomplicated",,J45.909,J45,Asthma
10,J45990,Exercise induced bronchospasm,,J45.990,J45,Asthma
10,J45991,Cough variant asthma,,J45.991,J45,Asthma
10,J45998,Other asthma,,J45.998,J45,Asthma
10,A227,Anthrax sepsis,,A22.7,A22,Anthrax
10,R180,Malignant ascites,,R18.0,R18,Ascites
10,R188,Other ascites,,R18.8,R18,Ascites
9,56882,Peritoneal effusion (chronic),568.82,R18.8,R18,Ascites
9,78951,Malignant ascites,789.51,R18.0,R18,Ascites
9,78959,Other ascites,789.59,R18.8,R18,Ascites
9,0559,Measles without mention of complication,055.9,B05.9,B05,Measles
9,1340,Myiasis,134.0,B87.9,B87,Myiasis
10,B870,Cutaneous myiasis,,B87.0,B87,Myiasis
10,B871,Wound myiasis,,B87.1,B87,Myiasis
10,B879,"Myiasis, unspecified",,B87.9,B87,Myiasis
9,0830,Q fever,083.0,A78,A78,Q fever
9,6953,Rosacea,695.3,L71.0,L71,Rosacea
10,L710,Perioral dermatitis,,L71.0,L71,Rosacea
10,L718,Other rosacea,,L71.8,L71,Rosacea
10,L719,"Rosacea, unspecified",,L71.9,L71,Rosacea
10,B86,Scabies,,B86,B86,Scabies
9,1330,Scabies,133.0,B86,B86,Scabies
10,L559,"Sunburn, unspecified",,L55.9,L55,Sunburn
9,69271,Sunburn,692.71,L55.0,L55,Sunburn
10,R64,Cachexia,,R64,R64,Cachexia
9,7994,Cachexia,799.4,R64,R64,Cachexia
9,5950,Acute cystitis,595.0,N30.00,N30,Cystitis
9,5951,Chronic interstitial cystitis,595.1,N30.10,N30,Cystitis
9,5952,Other chronic cystitis,595.2,N30.20,N30,Cystitis
9,5954,Cystitis in diseases classified elsewhere,595.4,N30.80,N30,Cystitis
9,5959,"Cystitis, unspecified",595.9,N30.90,N30,Cystitis
9,59581,Cystitis cystica,595.81,N30.80,N30,Cystitis
9,59582,Irradiation cystitis,595.82,N30.40,N30,Cystitis
9,59589,Other specified types of cystitis,595.89,N30.80,N30,Cystitis
10,N3000,Acute cystitis without hematuria,,N30.00,N30,Cystitis
10,N3001,Acute cystitis with hematuria,,N30.01,N30,Cystitis
10,N3010,Interstitial cystitis (chronic) without hematuria,,N30.10,N30,Cystitis
10,N3011,Interstitial cystitis (chronic) with hematuria,,N30.11,N30,Cystitis
10,N3020,Other chronic cystitis without hematuria,,N30.20,N30,Cystitis
10,N3021,Other chronic cystitis with hematuria,,N30.21,N30,Cystitis
10,N3030,Trigonitis without hematuria,,N30.30,N30,Cystitis
10,N3040,Irradiation cystitis without hematuria,,N30.40,N30,Cystitis
10,N3041,Irradiation cystitis with hematuria,,N30.41,N30,Cystitis
10,N3080,Other cystitis without hematuria,,N30.80,N30,Cystitis
10,N3081,Other cystitis with hematuria,,N30.81,N30,Cystitis
10,N3090,"Cystitis, unspecified without hematuria",,N30.90,N30,Cystitis
10,N3091,"Cystitis, unspecified with hematuria",,N30.91,N30,Cystitis
9,3336,Genetic torsion dystonia,333.6,G24.1,G24,Dystonia
10,G241,Genetic torsion dystonia,,G24.1,G24,Dystonia
10,G243,Spasmodic torticollis,,G24.3,G24,Dystonia
10,G244,Idiopathic orofacial dystonia,,G24.4,G24,Dystonia
10,G245,Blepharospasm,,G24.5,G24,Dystonia
10,G248,Other dystonia,,G24.8,G24,Dystonia
10,G249,"Dystonia, unspecified",,G24.9,G24,Dystonia
9,33372,Acute dystonia due to drugs,333.72,G24.02,G24,Dystonia
9,33379,Other acquired torsion dystonia,333.79,G24.8,G24,Dystonia
9,33381,Blepharospasm,333.81,G24.5,G24,Dystonia
9,33382,Orofacial dyskinesia,333.82,G24.4,G24,Dystonia
9,33383,Spasmodic torticollis,333.83,G24.3,G24,Dystonia
9,33385,Subacute dyskinesia due to drugs,333.85,G24.01,G24,Dystonia
10,G2401,Drug induced subacute dyskinesia,,G24.01,G24,Dystonia
10,G2402,Drug induced acute dystonia,,G24.02,G24,Dystonia
10,G2409,Other drug induced dystonia,,G24.09,G24,Dystonia
9,3659,Unspecified glaucoma,365.9,H40.9,H40,Glaucoma
10,H409,Unspecified glaucoma,,H40.9,H40,Glaucoma
9,36500,"Preglaucoma, unspecified",365.00,H40.009,H40,Glaucoma
9,36501,"Open angle with borderline findings, low risk",365.01,H40.019,H40,Glaucoma
9,36502,Anatomical narrow angle borderline glaucoma,365.02,H40.039,H40,Glaucoma
9,36504,Ocular hypertension,365.04,H40.059,H40,Glaucoma
9,36510,"Open-angle glaucoma, unspecified",365.10,H40.10X0,H40,Glaucoma
9,36511,Primary open angle glaucoma,365.11,H40.1110,H40,Glaucoma
9,36512,Low tension open-angle glaucoma,365.12,H40.1290,H40,Glaucoma
9,36513,Pigmentary open-angle glaucoma,365.13,H40.1390,H40,Glaucoma
9,36520,"Primary angle-closure glaucoma, unspecified",365.20,H40.20X0,H40,Glaucoma
9,36521,Intermittent angle-closure glaucoma,365.21,H40.239,H40,Glaucoma
9,36522,Acute angle-closure glaucoma,365.22,H40.219,H40,Glaucoma
9,36523,Chronic angle-closure glaucoma,365.23,H40.2290,H40,Glaucoma
9,36531,"Corticosteroid-induced glaucoma, glaucomatous stage",365.31,H40.60X0,H40,Glaucoma
9,36542,Glaucoma associated with anomalies of iris,365.42,H40.89,H40,Glaucoma
9,36552,Pseudoexfoliation glaucoma,365.52,H40.1490,H40,Glaucoma
9,36560,Glaucoma associated with unspecified ocular disorder,365.60,H40.50X0,H40,Glaucoma
9,36562,Glaucoma associated with ocular inflammations,365.62,H40.40X0,H40,Glaucoma
9,36563,Glaucoma associated with vascular disorders,365.63,H40.89,H40,Glaucoma
9,36565,Glaucoma associated with ocular trauma,365.65,H40.30X0,H40,Glaucoma
9,36570,"Glaucoma stage, unspecified",365.70,H40.60X0,H40,Glaucoma
9,36571,Mild stage glaucoma,365.71,H40.43X1,H40,Glaucoma
9,36572,Moderate stage glaucoma,365.72,H40.43X2,H40,Glaucoma
9,36573,Severe stage glaucoma,365.73,H40.43X3,H40,Glaucoma
9,36574,Indeterminate stage glaucoma,365.74,H40.20X4,H40,Glaucoma
9,36582,Glaucoma with increased episcleral venous pressure,365.82,H40.819,H40,Glaucoma
9,36589,Other specified glaucoma,365.89,H40.89,H40,Glaucoma
10,H4089,Other specified glaucoma,,H40.89,H40,Glaucoma
10,H40001,"Preglaucoma, unspecified, right eye",,H40.001,H40,Glaucoma
10,H40003,"Preglaucoma, unspecified, bilateral",,H40.003,H40,Glaucoma
10,H40009,"Preglaucoma, unspecified, unspecified eye",,H40.009,H40,Glaucoma
10,H40023,"Open angle with borderline findings, high risk, bilateral",,H40.023,H40,Glaucoma
10,H40033,"Anatomical narrow angle, bilateral",,H40.033,H40,Glaucoma
10,H40049,"Steroid responder, unspecified eye",,H40.049,H40,Glaucoma
10,H40051,"Ocular hypertension, right eye",,H40.051,H40,Glaucoma
10,H40052,"Ocular hypertension, left eye",,H40.052,H40,Glaucoma
10,H40053,"Ocular hypertension, bilateral",,H40.053,H40,Glaucoma
10,H40059,"Ocular hypertension, unspecified eye",,H40.059,H40,Glaucoma
10,H40211,"Acute angle-closure glaucoma, right eye",,H40.211,H40,Glaucoma
10,H40212,"Acute angle-closure glaucoma, left eye",,H40.212,H40,Glaucoma
10,H40219,"Acute angle-closure glaucoma, unspecified eye",,H40.219,H40,Glaucoma
10,H4010X0,"Unspecified open-angle glaucoma, stage unspecified",,H40.10X0,H40,Glaucoma
10,H4010X1,"Unspecified open-angle glaucoma, mild stage",,H40.10X1,H40,Glaucoma
10,H4010X2,"Unspecified open-angle glaucoma, moderate stage",,H40.10X2,H40,Glaucoma
10,H4010X3,"Unspecified open-angle glaucoma, severe stage",,H40.10X3,H40,Glaucoma
10,H4010X4,"Unspecified open-angle glaucoma, indeterminate stage",,H40.10X4,H40,Glaucoma
10,H401110,"Primary open-angle glaucoma, right eye, stage unspecified",,H40.1110,H40,Glaucoma
10,H401112,"Primary open-angle glaucoma, right eye, moderate stage",,H40.1112,H40,Glaucoma
10,H401113,"Primary open-angle glaucoma, right eye, severe stage",,H40.1113,H40,Glaucoma
10,H401120,"Primary open-angle glaucoma, left eye, stage unspecified",,H40.1120,H40,Glaucoma
10,H401123,"Primary open-angle glaucoma, left eye, severe stage",,H40.1123,H40,Glaucoma
10,H401130,"Primary open-angle glaucoma, bilateral, stage unspecified",,H40.1130,H40,Glaucoma
10,H401131,"Primary open-angle glaucoma, bilateral, mild stage",,H40.1131,H40,Glaucoma
10,H401132,"Primary open-angle glaucoma, bilateral, moderate stage",,H40.1132,H40,Glaucoma
10,H401133,"Primary open-angle glaucoma, bilateral, severe stage",,H40.1133,H40,Glaucoma
10,H401134,"Primary open-angle glaucoma, bilateral, indeterminate stage",,H40.1134,H40,Glaucoma
10,H401190,"Primary open-angle glaucoma, unspecified eye, stage unspecified",,H40.1190,H40,Glaucoma
10,H401191,"Primary open-angle glaucoma, unspecified eye, mild stage",,H40.1191,H40,Glaucoma
10,H401192,"Primary open-angle glaucoma, unspecified eye, moderate stage",,H40.1192,H40,Glaucoma
10,H401194,"Primary open-angle glaucoma, unspecified eye, indeterminate stage",,H40.1194,H40,Glaucoma
10,H4011X0,"Primary open-angle glaucoma, stage unspecified",,H40.11X0,H40,Glaucoma
10,H4011X2,"Primary open-angle glaucoma, moderate stage",,H40.11X2,H40,Glaucoma
10,H401212,"Low-tension glaucoma, right eye, moderate stage",,H40.1212,H40,Glaucoma
10,H401214,"Low-tension glaucoma, right eye, indeterminate stage",,H40.1214,H40,Glaucoma
10,H401221,"Low-tension glaucoma, left eye, mild stage",,H40.1221,H40,Glaucoma
10,H401230,"Low-tension glaucoma, bilateral, stage unspecified",,H40.1230,H40,Glaucoma
10,H401233,"Low-tension glaucoma, bilateral, severe stage",,H40.1233,H40,Glaucoma
10,H401290,"Low-tension glaucoma, unspecified eye, stage unspecified",,H40.1290,H40,Glaucoma
10,H401313,"Pigmentary glaucoma, right eye, severe stage",,H40.1313,H40,Glaucoma
10,H401322,"Pigmentary glaucoma, left eye, moderate stage",,H40.1322,H40,Glaucoma
10,H401410,"Capsular glaucoma with pseudoexfoliation of lens, right eye, stage unspecified",,H40.1410,H40,Glaucoma
10,H401413,"Capsular glaucoma with pseudoexfoliation of lens, right eye, severe stage",,H40.1413,H40,Glaucoma
10,H401430,"Capsular glaucoma with pseudoexfoliation of lens, bilateral, stage unspecified",,H40.1430,H40,Glaucoma
10,H401433,"Capsular glaucoma with pseudoexfoliation of lens, bilateral, severe stage",,H40.1433,H40,Glaucoma
10,H4020X0,"Unspecified primary angle-closure glaucoma, stage unspecified",,H40.20X0,H40,Glaucoma
10,H4020X2,"Unspecified primary angle-closure glaucoma, moderate stage",,H40.20X2,H40,Glaucoma
10,H402230,"Chronic angle-closure glaucoma, bilateral, stage unspecified",,H40.2230,H40,Glaucoma
10,H4031X0,"Glaucoma secondary to eye trauma, right eye, stage unspecified",,H40.31X0,H40,Glaucoma
10,H4032X0,"Glaucoma secondary to eye trauma, left eye, stage unspecified",,H40.32X0,H40,Glaucoma
10,H4051X0,"Glaucoma secondary to other eye disorders, right eye, stage unspecified",,H40.51X0,H40,Glaucoma
10,H4051X3,"Glaucoma secondary to other eye disorders, right eye, severe stage",,H40.51X3,H40,Glaucoma
10,H4052X0,"Glaucoma secondary to other eye disorders, left eye, stage unspecified",,H40.52X0,H40,Glaucoma
10,R51,Headache,,R51,R51,Headache
9,684,Impetigo,684,L01.00,L01,Impetigo
10,L011,Impetiginization of other dermatoses,,L01.1,L01,Impetigo
10,L0100,"Impetigo, unspecified",,L01.00,L01,Impetigo
10,L0102,Bockhart's impetigo,,L01.02,L01,Impetigo
10,L0103,Bullous impetigo,,L01.03,L01,Impetigo
10,L0109,Other impetigo,,L01.09,L01,Impetigo
9,34600,"Migraine with aura, without mention of intractable migraine without mention of status migrainosus",346.00,G43.109,G43,Migraine
9,34601,"Migraine with aura, with intractable migraine, so stated, without mention of status migrainosus",346.01,G43.119,G43,Migraine
9,34602,"Migraine with aura, without mention of intractable migraine with status migrainosus",346.02,G43.101,G43,Migraine
9,34603,"Migraine with aura, with intractable migraine, so stated, with status migrainosus",346.03,G43.111,G43,Migraine
9,34610,"Migraine without aura, without mention of intractable migraine without mention of status migrainosus",346.10,G43.009,G43,Migraine
9,34611,"Migraine without aura, with intractable migraine, so stated, without mention of status migrainosus",346.11,G43.019,G43,Migraine
9,34612,"Migraine without aura, without mention of intractable migraine with status migrainosus",346.12,G43.001,G43,Migraine
9,34613,"Migraine without aura, with intractable migraine, so stated, with status migrainosus",346.13,G43.011,G43,Migraine
9,34620,"Variants of migraine, not elsewhere classified, without mention of intractable migraine without mention of status migrainosus",346.20,G43.809,G43,Migraine
9,34621,"Variants of migraine, not elsewhere classified, with intractable migraine, so stated, without mention of status migrainosus",346.21,G43.819,G43,Migraine
9,34622,"Variants of migraine, not elsewhere classified, without mention of intractable migraine with status migrainosus",346.22,G43.801,G43,Migraine
9,34623,"Variants of migraine, not elsewhere classified, with intractable migraine, so stated, with status migrainosus",346.23,G43.811,G43,Migraine
9,34630,"Hemiplegic migraine, without mention of intractable migraine without mention of status migrainosus",346.30,G43.409,G43,Migraine
9,34631,"Hemiplegic migraine, with intractable migraine, so stated, without mention of status migrainosus",346.31,G43.419,G43,Migraine
9,34632,"Hemiplegic migraine, without mention of intractable migraine with status migrainosus",346.32,G43.401,G43,Migraine
9,34640,"Menstrual migraine, without mention of intractable migraine without mention of status migrainosus",346.40,G43.829,G43,Migraine
9,34643,"Menstrual migraine, with intractable migraine, so stated, with status migrainosus",346.43,G43.831,G43,Migraine
9,34650,"Persistent migraine aura without cerebral infarction, without mention of intractable migraine without mention of status migrainosus",346.50,G43.509,G43,Migraine
9,34670,"Chronic migraine without aura, without mention of intractable migraine without mention of status migrainosus",346.70,G43.709,G43,Migraine
9,34671,"Chronic migraine without aura, with intractable migraine, so stated, without mention of status migrainosus",346.71,G43.719,G43,Migraine
9,34672,"Chronic migraine without aura, without mention of intractable migraine with status migrainosus",346.72,G43.701,G43,Migraine
9,34673,"Chronic migraine without aura, with intractable migraine, so stated, with status migrainosus",346.73,G43.711,G43,Migraine
9,34680,"Other forms of migraine, without mention of intractable migraine without mention of status migrainosus",346.80,G43.809,G43,Migraine
9,34681,"Other forms of migraine, with intractable migraine, so stated, without mention of status migrainosus",346.81,G43.819,G43,Migraine
9,34682,"Other forms of migraine, without mention of intractable migraine with status migrainosus",346.82,G43.801,G43,Migraine
9,34683,"Other forms of migraine, with intractable migraine, so stated, with status migrainosus",346.83,G43.811,G43,Migraine
9,34690,"Migraine, unspecified, without mention of intractable migraine without mention of status migrainosus",346.90,G43.909,G43,Migraine
9,34691,"Migraine, unspecified, with intractable migraine, so stated, without mention of status migrainosus",346.91,G43.919,G43,Migraine
9,34692,"Migraine, unspecified, without mention of intractable migraine with status migrainosus",346.92,G43.901,G43,Migraine
9,34693,"Migraine, unspecified, with intractable migraine, so stated, with status migrainosus",346.93,G43.911,G43,Migraine
10,G43A0,"Cyclical vomiting, in migraine, not intractable",,G43.A0,G43,Migraine
10,G43A1,"Cyclical vomiting, in migraine, intractable",,G43.A1,G43,Migraine
10,G43B0,"Ophthalmoplegic migraine, not intractable",,G43.B0,G43,Migraine
10,G43D0,"Abdominal migraine, not intractable",,G43.D0,G43,Migraine
10,G43009,"Migraine without aura, not intractable, without status migrainosus",,G43.009,G43,Migraine
10,G43101,"Migraine with aura, not intractable, with status migrainosus",,G43.101,G43,Migraine
10,G43109,"Migraine with aura, not intractable, without status migrainosus",,G43.109,G43,Migraine
10,G43111,"Migraine with aura, intractable, with status migrainosus",,G43.111,G43,Migraine
10,G43119,"Migraine with aura, intractable, without status migrainosus",,G43.119,G43,Migraine
10,G43409,"Hemiplegic migraine, not intractable, without status migrainosus",,G43.409,G43,Migraine
10,G43501,"Persistent migraine aura without cerebral infarction, not intractable, with status migrainosus",,G43.501,G43,Migraine
10,G43509,"Persistent migraine aura without cerebral infarction, not intractable, without status migrainosus",,G43.509,G43,Migraine
10,G43709,"Chronic migraine without aura, not intractable, without status migrainosus",,G43.709,G43,Migraine
10,G43719,"Chronic migraine without aura, intractable, without status migrainosus",,G43.719,G43,Migraine
10,G43801,"Other migraine, not intractable, with status migrainosus",,G43.801,G43,Migraine
10,G43809,"Other migraine, not intractable, without status migrainosus",,G43.809,G43,Migraine
10,G43811,"Other migraine, intractable, with status migrainosus",,G43.811,G43,Migraine
10,G43819,"Other migraine, intractable, without status migrainosus",,G43.819,G43,Migraine
10,G43829,"Menstrual migraine, not intractable, without status migrainosus",,G43.829,G43,Migraine
10,G43901,"Migraine, unspecified, not intractable, with status migrainosus",,G43.901,G43,Migraine
10,G43909,"Migraine, unspecified, not intractable, without status migrainosus",,G43.909,G43,Migraine
10,G43911,"Migraine, unspecified, intractable, with status migrainosus",,G43.911,G43,Migraine
10,G43919,"Migraine, unspecified, intractable, without status migrainosus",,G43.919,G43,Migraine
10,B470,Eumycetoma,,B47.0,B47,Mycetoma
10,B471,Actinomycetoma,,B47.1,B47,Mycetoma
10,B479,"Mycetoma, unspecified",,B47.9,B47,Mycetoma
9,7280,Infective myositis,728.0,M60.009,M60,Myositis
9,7291,"Myalgia and myositis, unspecified",729.1,M60.9,M60,Myositis
10,M609,"Myositis, unspecified",,M60.9,M60,Myositis
9,72882,Foreign body granuloma of muscle,728.82,M60.20,M60,Myositis
10,M6008,"Infective myositis, other site",,M60.08,M60,Myositis
10,M6009,"Infective myositis, multiple sites",,M60.09,M60,Myositis
10,M6010,Interstitial myositis of unspecified site,,M60.10,M60,Myositis
10,M6018,"Interstitial myositis, other site",,M60.18,M60,Myositis
10,M6080,"Other myositis, unspecified site",,M60.80,M60,Myositis
10,M6088,"Other myositis, other site",,M60.88,M60,Myositis
10,M6089,"Other myositis, multiple sites",,M60.89,M60,Myositis
10,M60000,"Infective myositis, unspecified right arm",,M60.000,M60,Myositis
10,M60001,"Infective myositis, unspecified left arm",,M60.001,M60,Myositis
10,M60003,"Infective myositis, unspecified right leg",,M60.003,M60,Myositis
10,M60004,"Infective myositis, unspecified left leg",,M60.004,M60,Myositis
10,M60009,"Infective myositis, unspecified site",,M60.009,M60,Myositis
10,M60011,"Infective myositis, right shoulder",,M60.011,M60,Myositis
10,M60012,"Infective myositis, left shoulder",,M60.012,M60,Myositis
10,M60021,"Infective myositis, right upper arm",,M60.021,M60,Myositis
10,M60022,"Infective myositis, left upper arm",,M60.022,M60,Myositis
10,M60031,"Infective myositis, right forearm",,M60.031,M60,Myositis
10,M60032,"Infective myositis, left forearm",,M60.032,M60,Myositis
10,M60042,"Infective myositis, left hand",,M60.042,M60,Myositis
10,M60044,"Infective myositis, right finger(s)",,M60.044,M60,Myositis
10,M60051,"Infective myositis, right thigh",,M60.051,M60,Myositis
10,M60052,"Infective myositis, left thigh",,M60.052,M60,Myositis
10,M60061,"Infective myositis, right lower leg",,M60.061,M60,Myositis
10,M60062,"Infective myositis, left lower leg",,M60.062,M60,Myositis
10,M60073,"Infective myositis, right foot",,M60.073,M60,Myositis
10,M60074,"Infective myositis, left foot",,M60.074,M60,Myositis
10,M60811,"Other myositis, right shoulder",,M60.811,M60,Myositis
10,M60812,"Other myositis, left shoulder",,M60.812,M60,Myositis
10,M60821,"Other myositis, right upper arm",,M60.821,M60,Myositis
10,M60831,"Other myositis, right forearm",,M60.831,M60,Myositis
10,M60851,"Other myositis, right thigh",,M60.851,M60,Myositis
10,M60852,"Other myositis, left thigh",,M60.852,M60,Myositis
10,M60861,"Other myositis, right lower leg",,M60.861,M60,Myositis
10,M60862,"Other myositis, left lower leg",,M60.862,M60,Myositis
10,M60869,"Other myositis, unspecified lower leg",,M60.869,M60,Myositis
10,M60871,"Other myositis, right ankle and foot",,M60.871,M60,Myositis
10,R350,Frequency of micturition,,R35.0,R35,Polyuria
10,R351,Nocturia,,R35.1,R35,Polyuria
10,R358,Other polyuria,,R35.8,R35,Polyuria
9,78841,Urinary frequency,788.41,R35.0,R35,Polyuria
9,78842,Polyuria,788.42,R35.8,R35,Polyuria
9,78843,Nocturia,788.43,R35.1,R35,Polyuria
9,6980,Pruritus ani,698.0,L29.0,L29,Pruritus
9,6981,Pruritus of genital organs,698.1,L29.3,L29,Pruritus
9,6988,Other specified pruritic conditions,698.8,L29.8,L29,Pruritus
9,6989,Unspecified pruritic disorder,698.9,L29.9,L29,Pruritus
10,L290,Pruritus ani,,L29.0,L29,Pruritus
10,L291,Pruritus scroti,,L29.1,L29,Pruritus
10,L292,Pruritus vulvae,,L29.2,L29,Pruritus
10,L293,"Anogenital pruritus, unspecified",,L29.3,L29,Pruritus
10,L298,Other pruritus,,L29.8,L29,Pruritus
10,L299,"Pruritus, unspecified",,L29.9,L29,Pruritus
10,L80,Vitiligo,,L80,L80,Vitiligo
9,70901,Vitiligo,709.01,L80,L80,Vitiligo
9,0062,Amebic nondysenteric colitis,006.2,A06.2,A06,Amebiasis
9,0068,Amebic infection of other sites,006.8,A06.89,A06,Amebiasis
9,0069,"Amebiasis, unspecified",006.9,A06.9,A06,Amebiasis
10,A069,"Amebiasis, unspecified",,A06.9,A06,Amebiasis
10,A57,Chancroid,,A57,A57,Chancroid
9,0990,Chancroid,099.0,A57,A57,Chancroid
9,7231,Cervicalgia,723.1,M54.2,M54,Dorsalgia
9,7234,Brachial neuritis or radiculitis NOS,723.4,M54.12,M54,Dorsalgia
9,7241,Pain in thoracic spine,724.1,M54.6,M54,Dorsalgia
9,7242,Lumbago,724.2,M54.5,M54,Dorsalgia
9,7243,Sciatica,724.3,M54.30,M54,Dorsalgia
9,7244,"Thoracic or lumbosacral neuritis or radiculitis, unspecified",724.4,M54.14,M54,Dorsalgia
9,7245,"Backache, unspecified",724.5,M54.89,M54,Dorsalgia
9,7248,Other symptoms referable to back,724.8,M54.08,M54,Dorsalgia
9,7292,"Neuralgia, neuritis, and radiculitis, unspecified",729.2,M54.10,M54,Dorsalgia
10,M542,Cervicalgia,,M54.2,M54,Dorsalgia
10,M545,Low back pain,,M54.5,M54,Dorsalgia
10,M546,Pain in thoracic spine,,M54.6,M54,Dorsalgia
10,M549,"Dorsalgia, unspecified",,M54.9,M54,Dorsalgia
10,M5408,"Panniculitis affecting regions of neck and back, sacral and sacrococcygeal region",,M54.08,M54,Dorsalgia
10,M5410,"Radiculopathy, site unspecified",,M54.10,M54,Dorsalgia
10,M5412,"Radiculopathy, cervical region",,M54.12,M54,Dorsalgia
10,M5413,"Radiculopathy, cervicothoracic region",,M54.13,M54,Dorsalgia
10,M5414,"Radiculopathy, thoracic region",,M54.14,M54,Dorsalgia
10,M5415,"Radiculopathy, thoracolumbar region",,M54.15,M54,Dorsalgia
10,M5416,"Radiculopathy, lumbar region",,M54.16,M54,Dorsalgia
10,M5417,"Radiculopathy, lumbosacral region",,M54.17,M54,Dorsalgia
10,M5418,"Radiculopathy, sacral and sacrococcygeal region",,M54.18,M54,Dorsalgia
10,M5430,"Sciatica, unspecified side",,M54.30,M54,Dorsalgia
10,M5431,"Sciatica, right side",,M54.31,M54,Dorsalgia
